Face ID,Event,Time,Duration,Cumulative Emotion,Productivity Score
1,time-in,2024-09-05 18:09:11.715750
1,time-out,2024-09-05 18:09:13.650231,0:00:01.934481,stressed
1,productivity,stressed,0:00:01.934481,30.77%
2,time-in,2024-09-05 18:09:19.649520
2,time-out,2024-09-05 18:09:20.991011,0:00:01.341491,neutral
2,productivity,neutral,0:00:01.341491,90.00%
3,time-in,2024-09-05 18:10:02.236423
3,time-out,2024-09-05 18:10:32.551874,0:00:30.315451,neutral
3,productivity,neutral,0:00:30.315451,77.69%
4,time-in,2024-09-05 18:11:03.124821
4,time-out,2024-09-05 18:11:44.063265,0:00:40.938444,neutral
4,productivity,neutral,0:00:40.938444,90.00%
